,AC,coh,sex,imm,mrt,p,pp,ex60,ex65
351,63,1935,0,1,0,99,99,27.758298612635365,23.24003785121095
352,63,1935,0,1,1,99,99,30.010944853443423,25.404384866614564
353,63,1935,0,1,2,99,99,28.10652848342802,23.573480024981613
354,63,1935,1,0,0,99,99,21.427518884370418,17.27159881671361
355,63,1935,1,0,1,99,99,23.52527524620384,19.226866750892437
356,63,1935,1,0,2,99,99,21.749657105846314,17.570125727546912
357,63,1935,1,1,0,99,99,23.427324546764908,19.135008046645876
358,63,1935,1,1,1,99,99,25.585069121859583,21.169742677035796
359,63,1935,1,1,2,99,99,23.759545189390288,19.446773296827526
360,63,1940,0,0,0,99,99,25.854710490060622,21.425549689766015
361,63,1940,0,0,1,99,99,28.07062310506689,23.539079086420106
362,63,1940,0,0,2,99,99,26.196732214720125,21.750476109703413
363,63,1940,0,1,0,99,99,27.967711545626656,23.440505235490054
364,63,1940,0,1,1,99,99,30.22398319181261,25.60992208073107
365,63,1940,0,1,2,99,99,28.31655700238434,23.774800350486412
366,63,1940,1,0,0,99,99,21.621141027296446,17.450949197767983
367,63,1940,1,0,1,99,99,23.7252664795794,19.41457820162226
368,63,1940,1,0,2,99,99,21.944348624313005,17.750867641718816
369,63,1940,1,1,0,99,99,23.627047642086783,19.322363720348847
370,63,1940,1,1,1,99,99,25.790133131479926,21.364256580895972
371,63,1940,1,1,2,99,99,23.960167136316688,19.63532302734931
372,63,1945,0,0,0,99,99,26.148959991008756,21.70506176707771
373,63,1945,0,0,1,99,99,28.371013985581985,23.82702488744852
374,63,1945,0,0,2,99,99,26.492018099423866,22.03139937422497
375,63,1945,0,1,0,99,99,28.267845462852506,23.728094563500974
376,63,1945,0,1,1,99,99,30.529171666559186,25.904601074165438
377,63,1945,0,1,2,99,99,28.61755165267861,24.06358507319294
378,63,1945,1,0,0,99,99,21.89916781409649,17.708902857524276
379,63,1945,1,0,1,99,99,24.012215146115576,19.68427298621656
380,63,1945,1,0,2,99,99,22.223873823739243,18.010775857260167
381,63,1945,1,1,0,99,99,23.913620825849826,19.591559059097076
382,63,1945,1,1,1,99,99,26.08418303000058,21.64349740241776
383,63,1945,1,1,2,99,99,24.247998964969238,19.906194539287718
384,63,1950,0,0,0,99,99,26.453592357834886,21.9948221993552
385,63,1950,0,0,1,99,99,28.681819033539398,24.12528596491656
386,63,1950,0,0,2,99,99,26.797692488643694,22.322582760201215
387,63,1950,0,1,0,99,99,28.57839240561316,24.025996575606914
388,63,1950,0,1,1,99,99,30.84476959054552,26.209616767788322
389,63,1950,0,1,2,99,99,28.92896298729773,24.36269097955861
390,63,1950,1,0,0,99,99,22.187474232981735,17.97690374053155
391,63,1950,1,0,1,99,99,24.30950349793598,19.964129009714696
392,63,1950,1,0,2,99,99,22.513689248234844,18.280750876726636
393,63,1950,1,1,0,99,99,24.210531321046506,19.87091098312441
394,63,1950,1,1,1,99,99,26.388614693820553,21.932984293855384
395,63,1950,1,1,2,99,99,24.546176005663533,20.187238175723774
396,64,1926,0,0,0,99,99,24.31408227220384,19.96844275979635
397,64,1926,0,0,1,99,99,26.49473621568945,22.03398695843386
398,64,1926,0,0,2,99,99,24.6501599319872,20.285349451917043
399,64,1926,0,1,0,99,99,26.393301824176703,21.93744435540162
400,64,1926,0,1,1,99,99,28.620321549577053,24.06624406384873
401,64,1926,0,1,2,99,99,26.737198176158,22.264926315307356
402,64,1926,1,0,0,99,99,20.17328642036469,16.115997220862454
403,64,1926,1,0,1,99,99,22.22644889459665,18.013172426998107
404,64,1926,1,0,2,99,99,20.48794395801303,16.404862507841568
405,64,1926,1,1,0,99,99,22.130377611821967,17.923787939440377
406,64,1926,1,1,1,99,99,24.250649441908532,19.90869077890269
407,64,1926,1,1,2,99,99,22.456297329413815,18.227248291827593
408,64,1930,0,0,0,99,99,24.802194882389458,20.428891671165907
409,64,1930,0,0,1,99,99,26.994612066690763,22.510365542278723
410,64,1930,0,0,2,99,99,25.140254538745456,20.748458962541463
411,64,1930,0,1,0,99,99,26.892684530608328,22.413148103352295
412,64,1930,0,1,1,99,99,29.129487607169136,24.55546396070693
413,64,1930,0,1,2,99,99,27.238233240057983,22.742893783956877
414,64,1930,1,0,0,99,99,20.630513686346017,16.535983737768145
415,64,1930,1,0,1,99,99,22.700631518350107,18.455158116804768
416,64,1930,1,0,2,99,99,20.948014177155414,16.82850653609851
417,64,1930,1,1,0,99,99,22.603845244378487,18.364836233774994
418,64,1930,1,1,1,99,99,24.73838046797919,20.368628483461222
