,AC,coh,dis,sex,imm,mrt,p,pp,ex60,ex65
186,64,1945,1,0,99,99,99,99,22.531809650910283,18.33331158530775
187,64,1945,1,1,99,99,99,99,18.832645280388114,14.934016814544444
188,64,1950,0,0,99,99,99,99,27.6402094052512,23.156145768184857
189,64,1950,0,1,99,99,99,99,23.650661340315448,19.378777356458247
190,64,1950,1,0,99,99,99,99,22.751547313659465,18.538083318210038
191,64,1950,1,1,99,99,99,99,19.036797220656116,15.11891793502288
192,65,1926,0,0,99,99,99,99,26.71826876549385,22.27716667091142
193,65,1926,0,1,99,99,99,99,22.77145972498473,18.55665326666395
194,65,1926,1,0,99,99,99,99,21.884457756407134,17.73171236843302
195,65,1926,1,1,99,99,99,99,18.233191630073506,14.393251550127932
196,65,1930,0,0,99,99,99,99,27.26817461357945,22.80105182425657
197,65,1930,0,1,99,99,99,99,23.29543944987397,19.046107844704505
198,65,1930,1,0,99,99,99,99,22.401093976119732,18.211632141626186
199,65,1930,1,1,99,99,99,99,18.71135965528327,14.82434134900741
200,65,1935,0,0,99,99,99,99,27.81695714315078,23.325027127608298
201,65,1935,0,1,99,99,99,99,23.81961996903348,19.537243370824463
202,65,1935,1,0,99,99,99,99,22.918295010157607,18.693658763029003
203,65,1935,1,1,99,99,99,99,19.19193638556235,15.259667739660614
204,65,1940,0,0,99,99,99,99,27.907765257474747,23.411838491729796
205,65,1940,0,1,99,99,99,99,23.90647495089644,19.61876219599213
206,65,1940,1,0,99,99,99,99,23.00402746386434,18.773708152100692
207,65,1940,1,1,99,99,99,99,19.27177251502275,15.332178137652033
208,65,1945,0,0,99,99,99,99,28.090906526266224,23.587010466754087
209,65,1945,0,1,99,99,99,99,24.081742711947914,19.78337966599302
210,65,1945,1,0,99,99,99,99,23.17705857682477,18.935393999647605
211,65,1945,1,1,99,99,99,99,19.433050111860478,15.478818367537764
212,65,1950,0,0,99,99,99,99,28.325517675734698,23.811588576617826
213,65,1950,0,1,99,99,99,99,24.306458267233964,19.9946671886541
214,65,1950,1,0,99,99,99,99,23.398961316123433,19.14298748869149
215,65,1950,1,1,99,99,99,99,19.640161934507123,15.667443824930428
216,60,1926,0,0,0,0,99,99,24.197530326635693,19.884024183811416
217,60,1926,0,0,0,1,99,99,26.431444193098635,21.99689488437613
218,60,1926,0,0,0,2,99,99,24.655053163594967,20.314873656968608
219,60,1926,0,0,1,0,99,99,26.376767690667542,21.94491829411805
220,60,1926,0,0,1,1,99,99,28.66229762470652,24.12749939347428
221,60,1926,0,0,1,2,99,99,26.845801087925377,22.39118792414532
222,60,1926,0,1,0,0,99,99,20.01665313097374,16.001772844783694
223,60,1926,0,1,0,1,99,99,22.113581926707752,17.935530391618737
224,60,1926,0,1,0,2,99,99,20.443738456888212,16.393146675883823
225,60,1926,0,1,1,0,99,99,22.06192904349874,17.887550056249587
226,60,1926,0,1,1,1,99,99,24.23319984170081,19.917577039318886
227,60,1926,0,1,1,2,99,99,22.50551499361714,18.300120540653843
228,60,1926,1,0,0,0,99,99,19.712196446697604,15.723618729101446
229,60,1926,1,0,0,1,99,99,21.796614274989672,17.641358635269086
230,60,1926,1,0,0,2,99,99,20.13650856071909,16.111468945144637
231,60,1926,1,0,1,0,99,99,21.74523841658435,17.593736636541315
232,60,1926,1,0,1,1,99,99,23.90600974112373,19.610043447445555
233,60,1926,1,0,1,2,99,99,22.18649153815268,18.003283735481588
234,60,1926,1,1,0,0,99,99,15.913466694572234,12.32578683327771
235,60,1926,1,1,0,1,99,99,17.799238872769912,13.993894158020515
236,60,1926,1,1,0,2,99,99,16.29385738701253,12.65872658281371
237,60,1926,1,1,1,0,99,99,17.752276436051588,13.9518610569914
238,60,1926,1,1,1,1,99,99,19.74522500302593,15.75375894718934
239,60,1926,1,1,1,2,99,99,18.15634084154711,14.314239046941761
240,60,1930,0,0,0,0,99,99,24.66857815564612,20.327625673153342
241,60,1930,0,0,0,1,99,99,26.91460133729067,22.456723634301145
242,60,1930,0,0,0,2,99,99,25.128799025721616,20.762061076125406
243,60,1930,0,0,1,0,99,99,26.859658509758717,22.404386304270076
244,60,1930,0,0,1,1,99,99,29.155212890859033,24.60068113837801
245,60,1930,0,0,1,2,99,99,27.330931937192503,22.85369584791009
246,60,1930,0,1,0,0,99,99,20.45638350752623,16.404754887209172
247,60,1930,0,1,0,1,99,99,22.570674320970582,18.36082232256987
248,60,1930,0,1,0,2,99,99,20.88731900557586,16.80103774552111
249,60,1930,0,1,1,0,99,99,22.518637218559515,18.3123430783061
250,60,1930,0,1,1,1,99,99,24.704462379008813,20.361463309348448
251,60,1930,0,1,1,2,99,99,22.965458347008394,18.72912263616899
252,60,1930,1,0,0,0,99,99,20.14907338455932,16.12297501288343
253,60,1930,1,0,0,1,99,99,22.25131684418153,18.06355151726275
254,60,1930,1,0,0,2,99,99,20.577337072719484,16.51584911308559
255,60,1930,1,0,1,0,99,99,22.199546320588475,18.015418666495375
256,60,1930,1,0,1,1,99,99,24.375274362771687,20.051283590999617
257,60,1930,1,0,1,2,99,99,22.644122860794038,18.42927590181761
258,60,1930,1,1,0,0,99,99,16.305150721235126,12.668641100708577
259,60,1930,1,1,0,1,99,99,18.21583696926931,14.367732960464185
260,60,1930,1,1,0,2,99,99,16.691040581409254,13.008404011777872
261,60,1930,1,1,1,0,99,99,18.16831969540339,14.325006677147922
262,60,1930,1,1,1,1,99,99,20.18241601007291,16.153513811257447
263,60,1930,1,1,1,2,99,99,18.57706138926469,14.693235181589856
264,60,1935,0,0,0,0,99,99,25.17018086789801,20.8011728357809
265,60,1935,0,0,0,1,99,99,27.42849638132084,22.946820572145473
266,60,1935,0,0,0,2,99,99,25.633141952103358,21.239267542096776
267,60,1935,0,0,1,0,99,99,27.37328338145447,22.89411561100303
268,60,1935,0,0,1,1,99,99,29.678984984644863,25.1043598140321
269,60,1935,0,0,1,2,99,99,27.846828877761034,23.346522652905293
270,60,1935,0,1,0,0,99,99,20.92612899726246,16.83679085127368
271,60,1935,0,1,0,1,99,99,23.05809177624781,18.81566973027962
272,60,1935,0,1,0,2,99,99,21.36098547408034,17.238094851869242
273,60,1935,0,1,1,0,99,99,23.005663868169155,18.76668062740453
274,60,1935,0,1,1,1,99,99,25.206283184635353,20.835301120226017
275,60,1935,0,1,1,2,99,99,23.455775218776683,19.18776116029527
276,60,1935,1,0,0,0,99,99,20.61591225770926,16.551301974475464
277,60,1935,1,0,0,1,99,99,22.736303295790307,18.515231627368593
278,60,1935,1,0,0,2,99,99,21.04820100580081,16.94931520929604
279,60,1935,1,0,1,0,99,99,22.68413125866341,18.466576622406357
280,60,1935,1,0,1,1,99,99,24.875065568849436,20.522420495282063
281,60,1935,1,0,1,2,99,99,23.13208846083927,18.884838888195908
282,60,1935,1,1,0,0,99,99,16.725889060363944,13.03917880790075
283,60,1935,1,1,0,1,99,99,18.662003456830682,14.769952437956567
284,60,1935,1,1,0,2,99,99,17.117393951454183,13.38591425690755
285,60,1935,1,1,1,0,99,99,18.61392023107357,14.726516989959968
286,60,1935,1,1,1,1,99,99,20.649574834098505,16.58224851971668
287,60,1935,1,1,1,2,99,99,19.0274323623696,15.100731134671705
288,60,1940,0,0,0,0,99,99,25.286095258727,20.91077033709238
289,60,1940,0,0,0,1,99,99,27.547166461661405,23.060139185704667
290,60,1940,0,0,0,2,99,99,25.749670840756593,21.349688117597278
291,60,1940,0,0,1,0,99,99,27.491892921314594,23.007351606599904
292,60,1940,0,0,1,1,99,99,29.79986317328978,25.220724867183744
293,60,1940,0,0,1,2,99,99,27.965947477832202,23.460454659026194
294,60,1940,0,1,0,0,99,99,21.034892189742354,16.93704237726132
295,60,1940,0,1,0,1,99,99,23.170823437981888,18.921058877247617
296,60,1940,0,1,0,2,99,99,21.470629470541603,17.339477521911636
297,60,1940,0,1,1,0,99,99,23.118307808397088,18.87195498431112
298,60,1940,0,1,1,1,99,99,25.322246487342838,20.944964001948794
299,60,1940,0,1,1,2,99,99,23.569157633499437,19.294003771315953
300,60,1940,1,0,0,0,99,99,20.72402240999412,16.65071787647559
301,60,1940,1,0,0,1,99,99,22.84848925632727,18.61990765070968
302,60,1940,1,0,0,2,99,99,21.15721546033682,17.049888922652535
303,60,1940,1,0,1,0,99,99,22.796227082313084,18.57113507378249
304,60,1940,1,0,1,1,99,99,24.990573666043755,20.631475778426015
305,60,1940,1,0,1,2,99,99,23.24494315774715,18.990389137469776
306,60,1940,1,1,0,0,99,99,16.82363214696981,13.125574712255132
307,60,1940,1,1,0,1,99,99,18.765466811999605,14.863485509107127
308,60,1940,1,1,0,2,99,99,17.216400492730944,13.473880385210672
309,60,1940,1,1,1,0,99,99,18.717256319674846,14.81989026150797
310,60,1940,1,1,1,1,99,99,20.757756875027567,16.68175628822103
311,60,1940,1,1,1,2,99,99,19.131841110696662,15.19545320019582
312,60,1945,0,0,0,0,99,99,25.484026184777722,21.09805582329618
313,60,1945,0,0,0,1,99,99,27.74973134131084,23.25369134665768
314,60,1945,0,0,0,2,99,99,25.94863527126589,21.538359992002736
315,60,1945,0,0,1,0,99,99,27.694356021922165,23.20076467031107
316,60,1945,0,0,1,1,99,99,30.006133998383984,25.419399246048194
317,60,1945,0,0,1,2,99,99,28.16926631270804,23.655039433897084
318,60,1945,0,1,0,0,99,99,21.220789685354355,17.108577651302237
319,60,1945,0,1,0,1,99,99,23.363400029093956,19.10125383066326
320,60,1945,0,1,0,2,99,99,21.658009647032756,17.5129196360587
321,60,1945,0,1,1,0,99,99,23.310736793657703,19.0519564904951
322,60,1945,0,1,1,1,99,99,25.520259680150787,21.13235962015166
323,60,1945,0,1,1,2,99,99,23.762829173201126,19.475636942274885
324,60,1945,1,0,0,0,99,99,20.908820539106337,16.8208444177005
325,60,1945,1,0,0,1,99,99,23.04014758984605,18.798900798524038
326,60,1945,1,0,0,2,99,99,21.34353592595705,17.22196733971971
327,60,1945,1,0,1,0,99,99,22.987733735645513,18.74993007420995
328,60,1945,1,0,1,1,99,99,25.187821208833306,20.81784787609957
329,60,1945,1,0,1,2,99,99,23.437726773070036,19.170855581428963
330,60,1945,1,1,0,0,99,99,16.990969584025034,13.2737502421372
331,60,1945,1,1,0,1,99,99,18.942440323244927,15.023693544003835
332,60,1945,1,1,0,2,99,99,17.385866572206858,13.624702794641186
333,60,1945,1,1,1,0,99,99,18.89401548671896,14.979828864787892
334,60,1945,1,1,1,1,99,99,20.94267602924843,16.852037704752306
335,60,1945,1,1,1,2,99,99,19.3104068003267,15.357665956438202
336,60,1950,0,0,0,0,99,99,25.737178085200696,21.337847365826427
337,60,1950,0,0,0,1,99,99,28.008681098615426,23.501340179009823
338,60,1950,0,0,0,2,99,99,26.203080570367884,21.77989029723722
339,60,1950,0,0,1,0,99,99,27.953178490336295,23.448239177363142
340,60,1950,0,0,1,1,99,99,30.269704094449352,25.67345206368389
341,60,1950,0,0,1,2,99,99,28.429158790203296,23.903982155989635
342,60,1950,0,1,0,0,99,99,21.458871256160077,17.32860149461334
343,60,1950,0,1,0,1,99,99,23.609848630194993,19.332149078671677
344,60,1950,0,1,0,2,99,99,21.897949053120755,17.735337799637094
345,60,1950,0,1,1,0,99,99,23.557000545456777,19.282608951131476
346,60,1950,0,1,1,1,99,99,25.773514540923664,21.372289295759323
347,60,1950,0,1,1,2,99,99,24.01064890683338,19.70833712130466
348,60,1950,1,0,0,0,99,99,21.145524420878537,17.039099255951413
349,60,1950,1,0,0,1,99,99,23.285446195389888,19.028287654773557
350,60,1950,1,0,0,2,99,99,21.582147513476183,17.442673201703442
351,60,1950,1,0,1,0,99,99,23.232842371450857,18.979068222013684
352,60,1950,1,0,1,1,99,99,25.440117785768557,21.056493741422802
353,60,1950,1,0,1,2,99,99,23.684434629261947,19.402091559588975
354,60,1950,1,1,0,0,99,99,17.20577751004399,13.464436702030767
355,60,1950,1,1,0,1,99,99,19.169335181492546,15.229491344704297
356,60,1950,1,1,0,2,99,99,17.603345109275548,13.818712895159738
357,60,1950,1,1,1,0,99,99,19.12064156183858,15.18528825472648
358,60,1950,1,1,1,1,99,99,21.179531581957985,17.070487031440482
359,60,1950,1,1,1,2,99,99,19.539298094214285,15.56598171932836
360,61,1926,0,0,0,0,99,99,24.712677616246452,20.369210874635773
361,61,1926,0,0,0,1,99,99,26.959805945612924,22.49979352215525
362,61,1926,0,0,0,2,99,99,25.173144788191426,20.80397446686459
363,61,1926,0,0,1,0,99,99,26.904838820635245,22.4474232000663
364,61,1926,0,0,1,1,99,99,29.20130692107882,24.644971211422504
365,61,1926,0,0,1,2,99,99,27.37631659769814,22.897010742748332
366,61,1926,0,1,0,0,99,99,20.497621606742346,16.442619685555748
367,61,1926,0,1,0,1,99,99,22.61349923834656,18.400731071250135
368,61,1926,0,1,0,2,99,99,20.92890909420292,16.839352371199162
369,61,1926,0,1,1,0,99,99,22.5614270329329,18.352206131125822
370,61,1926,0,1,1,1,99,99,24.748581441562706,20.403074576274594
371,61,1926,0,1,1,2,99,99,23.008543713572887,18.769371182428603
372,61,1926,1,0,0,0,99,99,20.190050583928514,16.160507553947053
373,61,1926,1,0,0,1,99,99,22.29392341243605,18.103176408233598
374,61,1926,1,0,0,2,99,99,20.618675570758413,16.553842028779933
375,61,1926,1,0,1,0,99,99,22.242116827502983,18.05499676349575
376,61,1926,1,0,1,1,99,99,24.419211015259236,20.092652650601032
377,61,1926,1,0,1,2,99,99,22.68699701463646,18.469248785002513
378,61,1926,1,1,0,0,99,99,16.34199265307156,12.700996629172035
379,61,1926,1,1,0,1,99,99,18.254959257962696,14.402926978440766
380,61,1926,1,1,0,2,99,99,16.728385972400986,13.041384407820633
381,61,1926,1,1,1,0,99,99,18.207391216392097,14.360137172549631
382,61,1926,1,1,1,1,99,99,20.22342192725086,16.191082878101724
383,61,1926,1,1,1,2,99,99,18.616560856223103,14.728901825440081
384,61,1930,0,0,0,0,99,99,25.18675483397709,20.816839813966478
385,61,1930,0,0,0,1,99,99,27.445466285208724,22.963021949182906
386,61,1930,0,0,0,2,99,99,25.64980420478752,21.255052717189532
387,61,1930,0,0,1,0,99,99,27.390244586230803,22.91030512205937
388,61,1930,0,0,1,1,99,99,29.696272321279448,25.120998897766594
389,61,1930,0,0,1,2,99,99,27.863863231758163,23.362812130792292
390,61,1930,0,1,0,0,99,99,20.94167569467796,16.851115917723277
391,61,1930,0,1,0,1,99,99,23.074208508794374,18.830732424003163
392,61,1930,0,1,0,2,99,99,21.376658684307046,17.252582314288052
393,61,1930,0,1,1,0,99,99,23.021767999413488,18.78172683932934
394,61,1930,0,1,1,1,99,99,25.222864177926844,20.850977487176337
